CIDm00213043	CIDs00213043	ATC	J01EA03
CIDm00006049	CIDs00006049	ATC	V03AB03
CIDm00060020	CIDs00060020	ATC	J01MA05
CIDm70683024	CIDs70683024	ATC	L03AA14
CIDm00000838	CIDs00005815	ATC	A01AD01
CIDm00000838	CIDs00005815	ATC	B02BC09
CIDm00000838	CIDs00005815	ATC	C01CA24
CIDm00000838	CIDs00005815	ATC	R01AA14
CIDm00000838	CIDs00005815	ATC	R03AA01
CIDm00000838	CIDs00005815	ATC	S01EA01
CIDm00004688	CIDs00004688	ATC	C02KC01
CIDm00003249	CIDs05280793	ATC	A11CC01
CIDm00003180	CIDs00003180	ATC	N01BX02
CIDm00003180	CIDs00003180	ATC	R02AD04
CIDm00002372	CIDs00002372	ATC	C07AB06
CIDm00071301	CIDs00071301	ATC	C07AB12
CIDm00002097	CIDs00002097	ATC	M01AE16
CIDm00002431	CIDs00002431	ATC	C01BD02
CIDm00358641	CIDs00358641	ATC	J01EE01
CIDm00005120	CIDs11133125	ATC	V09AB02
CIDm00070846	CIDs00070846	ATC	B01AA09
CIDm00003007	CIDs00003007	ATC	N06BA01
CIDm00010517	CIDs00015130	ATC	N07BC03
CIDm00002344	CIDs01201549	ATC	N04AC01
CIDm00009015	CIDs00009015	ATC	D11AX06
CIDm00002629	CIDs00044187	ATC	J01DD12
CIDm00060796	CIDs06918191	ATC	L02BG05
CIDm51508717	CIDs51508717	ATC	M01AC02
CIDm00027991	CIDs00027991	ATC	H01BA02
CIDm00005965	CIDs00005965	ATC	S01EB04
CIDm00001084	CIDs00001084	ATC	V03AB06
CIDm00002662	CIDs00002662	ATC	L01XX33
CIDm00002662	CIDs00002662	ATC	M01AH01
CIDm00072105	CIDs06436171	ATC	G01AF13
CIDm00072105	CIDs06436171	ATC	P01AB04
CIDm00071124	CIDs20055424	ATC	A11DA02
CIDm00004583	CIDs00004583	ATC	J01MA01
CIDm00004583	CIDs00004583	ATC	S01AE01
CIDm00004583	CIDs00004583	ATC	S02AA16
CIDm00000175	CIDs00000175	ATC	G01AD02
CIDm00000175	CIDs00000175	ATC	S02AA10
CIDm00004891	CIDs00004891	ATC	P02BA01
CIDm00042396	CIDs00042396	ATC	C01CA13
CIDm00023403	CIDs00023403	ATC	C10AX03
CIDm00000977	CIDs00000977	ATC	V03AN01
CIDm00005277	CIDs00025249	ATC	A14AA02
CIDm00003467	CIDs00003467	ATC	D06AX07
CIDm00003467	CIDs00003467	ATC	J01GB03
CIDm00003467	CIDs00003467	ATC	S01AA11
CIDm00003467	CIDs00003467	ATC	S02AA14
CIDm00003467	CIDs00003467	ATC	S03AA06
CIDm00036975	CIDs00036975	ATC	R03AC10
CIDm00036975	CIDs00036975	ATC	R03CC10
CIDm00005860	CIDs00005860	ATC	A03BB02
CIDm00003961	CIDs00003961	ATC	C09CA01
CIDm00004830	CIDs00004830	ATC	N05AD05
CIDm00008024	CIDs00008024	ATC	N01AA02
CIDm00035802	CIDs00035802	ATC	P02CA05
CIDm00020543	CIDs00158040	ATC	A12CB02
CIDm00000774	CIDs00000774	ATC	L03AX14
CIDm00007436	CIDs00007436	ATC	A01AD06
CIDm00007436	CIDs00007436	ATC	B02BC05
CIDm00010404	CIDs00010404	ATC	P03AA01
CIDm00002678	CIDs00002678	ATC	R06AE07
